# ID NUMBER, INTERNAL NAME, DISPLAY NAME, BASE $, BATTLE BGM, VICTORY BGM, INTRO ME, GENDER, SKILL LVL, SKILL CODES
0,POKEMONTRAINER_Lucas,Pokémon Trainer,100,TrainerDefault,VictoryTrainer,,Male,255,
1,POKEMONTRAINER_Dawn,Pokémon Trainer,100,TrainerDefault,VictoryTrainer,,Female,255,
2,YOUNGSTER,Youngster,25,,VictoryTrainer,MEKidMale,Male,255,
3,LASS,Lass,25,,VictoryTrainer,MELass,Female,255,
4,BUGCATCHER,Bug Catcher,15,,VictoryTrainer,MEKidMale,Male,255,
5,CAMPER,Camper,20,,VictoryTrainer,MEKidMale,Male,255,
6,PICNICKER,Picnicker,20,,VictoryTrainer,MEKidFemale,Female,255,
7,LADY,Lady,80,,VictoryTrainer,MELass,Female,255,
8,RICHBOY,Rich Boy,80,,VictoryTrainer,MEKidMale,Male,255,
9,BIRDKEEPER,Bird Keeper,45,,VictoryTrainer,MEKidMale,Male,255,
10,PARASOLLADY,Parasol Lady,50,,VictoryTrainer,MEUmbrella,Female,255,
11,BEAUTY,Beauty,50,,VictoryTrainer,MELass,Female,255,
12,WAITRESS,Waitress,50,,VictoryTrainer,MEMaid,Female,255,
13,HIKER,Hiker,80,,VictoryTrainer,MEHiker,Male,255,
14,FISHER,Fisher,80,,VictoryTrainer,MEWaterTrainer,Male,255,
15,BLACKBELT,Black Belt,80,,VictoryTrainer,MEEnergy,Male,255,
16,SAILOR,Sailor,60,,VictoryTrainer,MEWaterTrainer,Male,255,
17,FIREBREATHER,Fire Breather,80,,VictoryTrainer,MEEnergy,Male,255,
18,POLICE,Officer,80,,VictoryTrainer,MEPolice,Male,255,
19,MANIAC,Maniac,80,,VictoryTrainer,MEManiac,Female,255,
20,OLDMAN,Old Man,100,,VictoryTrainer,MEOldMan,Male,255,
21,SOCIALIST,Socialist,90,,VictoryTrainer,MEOldLady,Female,255,
22,BIKER_M,Biker,80,,VictoryTrainer,MESport,Male,255,
23,BIKER_F,Biker,80,,VictoryTrainer,MESport,Female,255,
24,SNOWBOARDER_M,Snowboarder,80,,VictoryTrainer,MESport,Male,255,
25,SNOWBOARDER_F,Snowboarder,80,,VictoryTrainer,MESport,Female,255,
26,SCIENTIST_M,Scientist,90,,VictoryTrainer,MEScientist,Male,255,
27,SCIENTIST_F,Scientist,90,,VictoryTrainer,MEScientist,Female,255,
28,TUBER_M,Tuber,60,,VictoryTrainer,METuber,Male,255,
29,TUBER_F,Tuber,60,,VictoryTrainer,METuber,Female,255,
30,SWIMMER_M,Swimmer,70,,VictoryTrainer,MESwimmer,Male,255,
31,SWIMMER_F,Swimmer,70,,VictoryTrainer,MESwimmer,Female,255,
32,FARMER_M,Farmer,70,,VictoryTrainer,MEFarmer,Male,255,
33,FARMER_F,Farmer,70,,VictoryTrainer,MEFarmer,Female,255,
34,BREEDER_M,Breeder,90,,VictoryTrainer,MEAceTrainer,Male,255,
35,BREEDER_F,Breeder,90,,VictoryTrainer,MEAceTrainer,Female,255,
36,RANGER_M,Ranger,90,,VictoryTrainer,MEAceTrainer,Male,255,
37,RANGER_F,Ranger,90,,VictoryTrainer,MEAceTrainer,Female,255,
38,PSYCHIC_M,Psychic,100,TrainerPsychic,VictoryTrainer,MEPsychic,Male,255,
39,PSYCHIC_F,Psychic,100,TrainerPsychic,VictoryTrainer,MEPsychic,Female,255,
40,ACETRAINER_M,Ace,100,,VictoryTrainer,MEAceTrainer,Male,255,
41,ACETRAINER_F,Ace,100,,VictoryTrainer,MEAceTrainer,Female,255,
42,LEADER_BROCK,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
43,LEADER_MISTY,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
44,LEADER_SURGE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
45,LEADER_ERIKA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
46,LEADER_KOGA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
47,LEADER_SABRINA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
48,LEADER_BLAINE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
49,LEADER_GIOVANNI,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
50,LEADER_FALKNER,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
51,LEADER_BUGSY,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
52,LEADER_WHITNEY,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
53,CAPTAIN_MORTY,Captain,100,TrainerPorygon,VictoryTrainer,MEEvil,Male,255,
54,LEADER_CHUCK,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
55,LEADER_JASMINE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
56,LEADER_PRYCE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
57,LEADER_CLAIR,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
58,CAPTAIN_ROXANN,Captain,100,TrainerPorygon,VictoryTrainer,MEEvil,Female,255,
59,LEADER_BRAWLY,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
60,LEADER_WATTSON,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
61,LEADER_FLANNERY,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
62,LEADER_NORMAN,Gym Leader,100,TrainerGymLeader,VictoryGym,MELeader,Male,255,
63,LEADER_WINONA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
64,LEADER_LENORA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Female,255,
65,LEADER_JUAN,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
66,LEADER_ROARK,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
67,LEADER_GARDENIA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
68,LEADER_MAYLENE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
69,LEADER_CRASHERWAKE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
70,LEADER_FANTINA,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
71,LEADER_BYRON,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
72,LEADER_CANDICE,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
73,LEADER_VOLKNER,Gym Leader,100,TrainerGymLeader,VictoryGym,MELEADER,Male,255,
74,ELITEFOUR_LORLEI,Elite Four,100,TrainerEliteFour,VictoryChampion,MEElite,Female,255,
75,ELITEFOUR_BRUNO,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
76,ELITEFOUR_AGATHA,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Female,255,
77,ELITEFOUR_LANCE,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
78,ELITEFOUR_GARY,Champion,100,TrainerGary,VictoryTrainer,METrainer,Male,255,
79,ELITEFOUR_WILL,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
80,ELITEFOUR_KOGA,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
81,ELITEFOUR_BRUNOTWO,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
82,ELITEFOUR_KAREN,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Female,255,
83,CHAMPION_LANCE,Champion,100,TrainerLance,VictoryTrainer,METrainer,Male,255,
84,ELITEFOUR_SIDNEY,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
85,ELITEFOUR_PHOEBE,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Female,255,
86,ELITEFOUR_GLACIA,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Female,255,
87,ELITEFOUR_DRAKE,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
88,CHAMPION_WALLACE,Champion,100,TrainerWallace,VictoryTrainer,METrainer,Male,255,
89,CHAMPION_STEVEN,Champion,100,TrainerSteven,VictoryTrainer,METrainer,Male,255,
90,ELITEFOUR_AARON,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
91,ELITEFOUR_BERTHA,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Female,255,
92,ELITEFOUR_FLINT,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
93,ELITEFOUR_LUCIAN,Elite Four,100,TrainerEliteFour,VictoryElite,MEElite,Male,255,
94,CHAMPION_CYNTHIA,Champion,100,TrainerCynthia,VictoryTrainer,MEVictory,Female,255,
95,NINJAKID,Ninja,100,TrainerNinjaKid,VictoryTrainer,MEEnergy,Male,255,
96,CLOWN,Clown,100,TrainerClown,VictoryTrainer,MEClown,Male,255,
97,GAMBLER,The,100,TrainerGambler,VictoryTrainer,MEGambler,Male,255,
98,HACKER,Hacker,100,TrainerHacker,VictoryTrainer,MEHacker,Male,255,
99,MAGICIAN,Magician,100,,VictoryTrainer,MEShadow,Male,255,
100,WANDERING,Wandering,100,,!Blank,MEEvil,Male,255,
101,RIVAL,Rival,100,TrainerDefault,VictoryTrainer,,Male,255,
102,BURGLAR,Burglar,100,,VictoryTrainer,MEEvil,Male,255,
103,ROCKET_M,Team Rocket,100,,VictoryTrainer,MEEvil,Male,255,
104,ROCKET_F,Team Rocket,100,,VictoryTrainer,MEEvil,Female,255,
105,WORKER,Worker,100,,VictoryTrainer,MEPolice,Male,255,
